,snapshot,component_charge,fieldtype_charge,field_charge,value_charge,mode_charge,component_discharge,fieldtype_discharge,field_discharge,value_discharge,mode_discharge
171,t172,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
172,t173,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
173,t174,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
174,t175,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
175,t176,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
176,t177,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.814172215807727,primal
177,t178,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.185827784192273,primal
178,t179,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
179,t180,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
180,t181,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
181,t182,battery.charging,exp,in_electricity,5.0,primal,battery.discharging,exp,in_electricity,0.0,primal
182,t183,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
183,t184,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
184,t185,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
185,t186,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.087694590844297,primal
186,t187,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.912305409155703,primal
187,t188,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
188,t189,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
189,t190,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
190,t191,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
191,t192,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
192,t193,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
193,t194,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
